"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66" "V67" "V68" "V69" "V70" "V71" "V72" "V73" "V74" "V75" "V76" "V77" "V78" "V79" "V80" "V81" "V82" "V83" "V84" "V85" "V86" "V87" "V88" "V89" "V90" "V91" "V92" "V93" "V94" "V95" "V96" "V97" "V98" "V99" "V100" "V101" "V102" "V103" "V104" "V105" "V106" "V107" "V108" "V109" "V110" "V111" "V112" "V113" "V114" "V115" "V116" "V117" "V118" "V119" "V120" "V121" "V122" "V123" "V124" "V125" "V126" "V127" "V128" "V129" "V130" "V131" "V132" "V133" "V134" "V135" "V136" "V137" "V138" "V139" "V140" "V141" "V142" "V143" "V144" "V145" "V146" "V147" "V148" "V149" "V150" "V151" "V152" "V153" "V154" "V155" "V156" "V157" "V158" "V159" "V160" "V161" "V162" "V163" "V164" "V165" "V166" "V167" "V168" "V169" "V170" "V171" "V172" "V173" "V174" "V175" "V176" "V177" "V178" "V179" "V180" "V181" "V182" "V183" "V184" "V185" "V186" "V187" "V188" "V189" "V190" "V191" "V192" "V193" "V194" "V195" "V196" "V197" "V198" "V199" "V200" "V201" "V202" "V203" "V204" "V205" "V206" "V207" "V208" "V209" "V210" "V211" "V212" "V213" "V214" "V215" "V216" "V217" "V218" "V219" "V220" "V221" "V222" "V223" "V224" "V225" "V226" "V227" "V228" "V229" "V230" "V231" "V232" "V233" "V234" "V235" "V236" "V237" "V238" "V239" "V240" "V241" "V242" "V243" "V244" "V245" "V246" "V247" "V248" "V249" "V250" "V251" "V252" "V253" "V254" "V255" "V256" "V257" "V258" "V259" "V260" "V261" "V262" "V263" "V264" "V265" "V266" "V267" "V268" "V269" "V270" "V271" "V272" "V273" "V274" "V275" "V276" "V277" "V278" "V279" "V280" "V281" "V282" "V283" "V284" "V285" "V286" "V287" "V288" "V289" "V290" "V291" "V292" "V293" "V294" "V295" "V296" "V297" "V298" "V299" "V300" "V301" "V302" "V303" "V304" "V305" "V306" "V307" "V308" "V309" "V310" "V311" "V312" "V313" "V314" "V315" "V316" "V317" "V318" "V319" "V320" "V321" "V322" "V323" "V324" "V325" "V326" "V327" "V328" "V329" "V330" "V331" "V332" "V333" "V334" "V335" "V336" "V337" "V338" "V339" "V340" "V341" "V342" "V343" "V344" "V345" "V346" "V347" "V348" "V349" "V350" "V351" "V352" "V353" "V354" "V355" "V356" "V357" "V358" "V359" "V360" "V361" "V362" "V363" "V364" "V365" "V366" "V367" "V368" "V369" "V370" "V371" "V372" "V373" "V374" "V375" "V376" "V377" "V378" "V379" "V380" "V381" "V382" "V383" "V384" "V385" "V386" "V387" "V388" "V389" "V390" "V391" "V392" "V393" "V394" "V395" "V396" "V397" "V398" "V399" "V400"
"1" 1 1 1 3 5 2 2 1 1 2 1 1 1 1 1 6 3 2 1 1 5 1 3 2 1 3 1 1 1 5 1 1 2 1 4 3 4 6 2 2 1 2 2 1 3 1 1 2 1 1 3 2 1 1 5 1 1 1 1 1 5 1 3 2 2 2 1 1 2 4 2 2 1 1 3 1 4 1 3 1 1 2 2 1 1 2 1 1 2 2 2 6 6 2 3 1 1 1 1 2 1 1 1 2 1 1 2 2 4 1 2 1 4 4 4 1 1 1 3 2 2 1 3 3 4 1 2 1 3 1 2 1 2 1 2 1 2 2 2 5 1 1 2 1 1 1 2 2 2 2 1 2 3 1 1 1 2 1 1 3 1 1 2 1 1 1 2 4 2 1 1 3 1 1 1 1 1 2 1 4 1 3 1 1 2 6 1 1 1 5 1 2 1 4 1 1 1 1 4 1 2 1 1 1 1 2 1 1 1 4 1 1 1 3 2 1 3 2 1 3 2 2 1 5 2 1 1 1 1 1 1 1 3 2 2 2 3 1 1 2 4 1 1 3 1 1 2 4 3 4 3 4 2 1 1 1 1 2 1 3 1 2 1 2 1 2 1 2 2 1 3 4 1 1 1 1 1 1 1 1 1 2 1 2 3 2 2 2 1 1 2 1 3 2 2 1 2 2 2 4 1 1 3 1 1 1 1 3 3 2 1 2 4 1 1 1 2 1 2 2 2 1 1 2 1 1 3 5 1 5 1 1 1 4 3 1 1 1 2 1 1 2 9 1 4 2 2 1 2 3 4 2 1 2 1 1 7 1 3 1 1 2 1 2 1 1 2 1 1 4 1 1 2 1 1 1 1 1 4 1 1 5 3 1 4 1 2 1 1 2 3 2 5 1 1 4 1 2 4 1
"2" 4 2 3 4 9 3 7 2 2 5 2 2 2 5 2 7 7 4 2 3 6 3 4 3 2 4 3 3 2 7 5 3 3 2 5 4 5 8 3 4 2 4 7 2 10 3 2 3 2 3 4 3 2 3 6 8 3 4 2 3 6 4 4 3 3 5 3 3 3 5 6 3 2 3 6 2 5 3 4 3 2 4 5 2 2 3 2 2 7 4 3 7 7 3 7 2 3 4 2 5 5 5 2 3 4 2 4 7 5 3 5 6 5 5 5 2 3 2 4 10 3 2 4 4 5 2 7 3 4 4 3 4 3 3 3 5 3 4 4 6 7 2 3 5 2 3 3 3 3 4 9 7 5 2 2 2 3 2 3 4 2 3 3 4 4 2 4 5 4 3 2 4 4 2 2 2 4 3 2 6 3 6 2 4 5 9 3 8 4 6 2 3 3 6 3 3 2 4 5 2 5 2 2 3 2 3 2 5 4 6 3 3 2 4 6 2 4 5 2 6 5 4 2 6 3 2 2 5 2 2 2 3 4 7 5 4 4 2 3 7 5 5 5 4 2 2 3 6 5 5 4 6 4 3 2 2 2 4 3 5 4 4 2 3 5 3 2 3 3 2 4 5 2 4 3 2 4 2 2 2 2 5 3 3 4 6 3 3 2 3 6 2 4 3 6 2 5 3 6 6 2 3 5 2 2 2 3 6 7 5 3 8 6 2 4 2 5 2 5 3 4 2 2 3 3 2 7 6 2 8 2 2 2 5 6 4 2 6 3 2 3 3 10 2 5 4 4 2 5 4 6 3 2 3 2 3 8 5 4 4 3 3 2 4 2 2 4 4 4 5 3 4 5 5 3 4 2 5 5 2 2 6 5 3 5 3 5 3 3 4 5 4 6 3 3 8 2 4 5 2
"3" 5 3 4 6 11 5 9 3 3 7 3 4 3 10 3 9 8 8 3 8 8 5 5 4 3 5 4 4 3 9 6 4 8 3 6 7 8 9 6 12 4 7 9 3 12 6 5 6 4 5 6 4 4 4 8 9 4 5 4 5 7 6 7 4 6 6 6 6 4 6 8 4 3 4 7 4 9 4 5 7 4 8 11 3 3 9 3 4 8 5 7 8 11 4 8 3 5 5 6 6 7 6 3 4 7 5 6 8 8 6 7 7 7 9 6 8 4 3 5 11 4 4 5 5 6 3 8 4 5 5 4 6 4 5 6 6 9 5 5 7 9 3 4 6 4 5 4 4 4 6 10 10 6 6 3 4 8 4 5 7 6 8 7 7 5 3 5 8 5 5 5 5 5 4 6 3 7 5 3 11 5 7 7 6 6 12 6 9 7 7 4 7 4 8 5 4 7 5 8 3 9 3 4 6 3 4 4 6 6 8 4 5 3 5 8 4 6 8 4 12 7 5 3 8 9 6 3 6 5 4 7 5 5 8 8 5 5 4 7 9 7 6 7 5 4 3 5 7 8 6 5 7 8 5 3 4 3 7 4 12 5 5 4 5 7 11 7 5 4 5 5 6 3 6 6 3 8 5 5 4 3 6 4 4 5 7 4 8 6 4 7 4 5 4 7 7 6 4 8 7 4 5 9 4 5 4 4 7 13 6 4 9 7 4 7 3 9 3 7 4 9 5 3 6 4 5 8 7 3 9 4 4 6 6 8 6 3 9 5 3 5 4 12 4 6 5 5 3 6 6 7 5 4 4 3 4 9 7 5 6 4 5 5 5 3 3 5 8 6 6 4 5 8 6 4 7 4 6 6 7 5 8 6 6 8 4 7 6 8 5 6 5 8 5 4 11 5 6 6 3
"4" 11 5 5 8 13 6 13 4 4 12 4 5 4 11 5 11 10 9 6 10 12 6 8 5 7 8 6 5 5 12 7 6 9 7 8 8 10 12 9 13 6 10 10 4 13 8 9 9 6 6 7 5 6 8 11 10 6 6 5 7 8 7 10 8 8 7 9 11 6 9 10 5 5 7 8 5 14 5 9 8 5 9 12 4 7 11 4 5 10 6 8 10 12 7 10 4 6 7 7 7 8 9 4 7 10 6 7 9 9 8 9 8 9 11 10 9 5 4 6 12 6 5 7 6 8 7 10 5 6 12 5 7 7 9 7 7 13 6 9 8 10 4 6 7 5 6 5 5 5 8 11 11 7 8 4 5 9 7 6 9 7 10 9 8 6 7 7 9 7 6 7 8 8 12 11 4 8 6 4 12 6 8 8 8 9 13 7 11 9 10 5 8 8 10 7 7 8 6 9 7 11 4 7 7 7 5 5 7 9 9 6 8 4 6 9 5 8 12 6 13 9 6 4 10 11 8 4 8 7 6 8 7 6 9 9 6 7 5 9 10 9 7 10 6 6 7 7 8 9 7 7 10 10 6 4 5 5 10 5 14 6 9 5 7 8 13 9 7 6 9 8 8 4 9 10 7 9 6 7 5 5 7 7 5 6 8 6 10 8 5 8 7 6 5 8 8 7 5 10 8 7 8 10 5 8 5 7 8 15 7 5 14 8 5 10 4 11 4 8 6 10 11 6 8 5 6 9 8 6 10 6 5 9 7 9 7 4 11 7 13 6 5 13 10 8 6 6 5 11 7 8 8 6 7 4 5 10 9 7 7 8 6 11 6 5 7 6 11 9 8 5 6 11 7 7 8 5 8 7 8 9 9 7 8 12 5 9 8 12 6 7 6 10 7 7 13 6 8 7 6
"5" 12 6 8 11 14 7 16 5 5 14 5 6 8 12 6 13 11 11 11 11 14 9 9 7 8 10 11 6 6 13 9 8 10 8 11 9 13 14 10 17 9 11 13 5 14 9 14 10 8 7 9 6 10 10 14 13 10 7 7 10 10 12 12 9 9 9 10 12 11 11 15 10 6 9 9 8 15 6 13 9 6 12 13 7 8 12 8 6 13 8 9 11 13 9 11 5 9 8 9 8 12 18 5 9 11 7 9 13 11 9 10 10 11 13 11 10 10 7 7 13 8 6 8 7 13 10 12 6 9 13 6 10 9 11 10 8 15 7 10 10 13 7 8 9 6 8 14 9 6 9 13 13 8 9 7 7 14 10 7 11 8 11 10 10 7 12 8 11 10 9 9 9 12 15 12 6 13 7 9 14 8 10 11 11 15 14 8 12 10 12 7 10 10 12 8 10 10 7 12 8 12 6 8 8 8 6 6 8 13 11 9 9 5 8 11 7 11 13 8 14 11 9 5 11 13 9 6 9 8 9 9 10 7 11 10 7 13 9 12 11 10 10 11 7 11 8 8 9 10 9 8 12 11 10 8 6 9 11 11 19 8 10 8 9 12 14 11 8 7 10 9 10 6 10 11 8 10 7 9 6 9 9 9 9 8 9 9 11 10 6 11 10 7 6 13 10 10 7 13 9 8 11 13 9 9 8 8 10 16 11 7 15 9 8 11 5 12 6 9 7 12 12 7 9 8 10 11 10 8 12 10 6 14 8 10 10 6 12 8 15 7 7 14 13 10 8 10 6 14 11 11 10 7 8 5 6 12 10 8 9 9 9 12 7 8 8 7 12 10 9 6 9 12 8 9 9 7 11 8 12 11 11 8 9 13 8 11 12 13 7 9 9 13 9 8 15 9 9 10 8
"6" 13 8 11 12 15 8 18 6 7 18 8 7 15 15 8 15 13 13 12 14 16 10 12 10 13 15 13 7 7 14 10 9 11 11 13 14 15 15 12 18 10 13 14 6 18 11 17 14 9 8 12 9 11 13 16 14 13 8 8 11 11 13 18 10 10 10 11 15 17 14 16 11 10 12 12 10 16 7 15 10 7 13 15 10 11 13 9 8 14 9 12 13 16 10 12 7 11 9 10 9 14 19 7 10 13 11 10 15 13 10 11 12 12 14 13 12 12 10 16 15 12 7 10 12 15 13 13 8 10 14 7 11 13 12 11 10 16 9 11 20 17 8 10 10 8 10 15 11 9 11 16 16 10 10 11 8 15 13 11 14 11 14 11 12 8 14 11 14 13 10 10 10 15 16 16 7 16 10 11 15 11 11 14 14 16 18 9 16 15 13 8 11 12 14 10 14 11 9 15 11 17 8 11 9 12 7 7 10 14 13 10 13 7 9 12 9 12 14 9 16 12 13 8 14 14 11 7 10 11 11 11 11 8 13 11 8 17 10 13 12 13 11 13 10 12 11 10 11 12 12 10 14 13 11 10 9 12 15 15 20 9 11 10 12 18 15 12 9 9 11 11 11 7 11 13 10 12 9 11 8 10 10 10 10 12 10 11 13 12 9 13 11 11 7 15 13 11 9 17 10 11 14 15 11 10 9 9 11 18 19 8 16 10 10 14 7 15 9 11 9 13 13 9 10 9 14 13 11 12 13 11 8 16 11 13 12 11 13 9 18 10 9 15 14 12 11 11 8 15 15 12 12 8 10 7 10 13 15 10 11 10 10 15 8 9 9 10 13 14 10 11 10 14 10 14 10 8 13 12 13 14 12 9 15 14 9 12 14 16 14 12 10 16 12 10 16 11 12 12 9
"7" 17 9 12 13 16 11 20 7 11 19 9 8 17 18 9 16 15 15 15 15 17 16 17 11 15 19 14 8 9 15 12 13 13 15 16 15 16 16 14 19 11 14 17 11 22 12 18 17 11 9 14 10 12 15 17 16 14 9 10 12 13 19 21 15 13 11 12 17 18 16 17 14 11 13 13 12 17 13 16 11 8 14 20 11 13 14 11 12 17 10 13 15 18 11 14 10 14 10 13 10 15 21 8 11 16 12 14 16 14 11 16 13 14 17 14 14 15 13 19 16 13 9 12 13 19 14 14 14 12 15 8 13 14 13 12 12 17 10 13 23 19 9 11 13 12 12 16 13 10 13 18 17 12 12 13 12 17 16 13 15 12 16 16 14 9 19 12 15 16 12 12 14 17 23 18 13 17 18 12 16 13 12 15 15 18 19 13 21 17 14 11 12 13 17 11 15 13 10 16 13 18 9 12 10 15 8 8 11 17 14 13 15 9 13 13 10 13 17 15 17 13 14 9 15 15 12 12 12 12 14 12 12 9 14 12 9 19 11 14 13 18 12 16 11 13 14 11 13 13 13 11 15 14 13 11 10 13 17 16 21 10 14 11 16 19 16 15 10 10 12 14 12 8 13 14 12 13 14 12 9 16 11 11 12 14 12 13 15 15 11 14 12 14 9 16 14 14 10 18 11 13 15 16 12 13 11 11 14 23 20 9 17 11 12 15 13 20 11 17 10 14 20 10 11 12 15 14 12 17 14 14 11 20 13 14 13 15 15 12 20 13 11 16 15 14 15 13 9 17 17 16 13 11 11 8 12 14 18 14 12 11 12 16 9 13 11 13 14 15 12 12 11 15 12 15 13 9 14 15 14 15 14 12 17 15 11 14 20 17 16 13 12 21 15 11 17 12 13 14 10
"8" 18 13 14 16 19 12 22 10 12 21 10 10 18 22 10 17 17 18 16 17 18 17 24 12 16 23 15 12 11 16 14 14 14 16 17 16 17 17 15 20 12 15 19 13 25 13 19 19 13 10 15 11 13 16 18 18 15 13 11 14 14 20 22 16 14 12 13 18 20 19 18 16 14 14 15 13 19 17 17 14 9 15 21 13 14 18 15 13 20 12 14 17 22 22 16 12 15 14 15 14 16 22 9 14 22 15 17 17 16 12 18 14 15 19 18 15 16 16 21 17 14 10 13 18 23 15 17 15 13 16 9 14 15 15 19 13 18 11 14 24 21 13 13 17 14 13 18 14 11 14 19 18 14 13 15 13 19 20 15 20 14 17 19 16 10 22 13 16 17 13 14 17 22 24 19 15 20 20 15 18 14 14 18 16 20 21 18 22 18 15 12 20 14 20 14 16 14 12 17 14 19 19 15 11 17 12 9 15 18 19 17 16 12 16 15 11 14 18 18 19 15 15 12 16 16 14 13 15 14 15 15 13 10 18 13 10 21 13 15 16 19 13 17 19 15 15 15 14 14 14 12 16 15 14 14 11 14 18 17 22 11 15 12 18 20 17 16 13 12 13 15 13 11 15 15 14 14 16 14 12 17 12 13 13 17 13 14 17 17 12 16 14 16 12 21 15 15 11 21 13 17 17 24 13 15 12 14 16 25 21 11 18 12 13 16 15 23 15 19 11 16 21 11 14 13 16 15 14 19 15 15 12 23 14 16 14 17 16 17 21 14 12 19 17 16 18 15 11 18 18 18 15 13 16 12 15 15 19 20 13 15 15 19 10 14 16 17 15 17 13 13 12 16 13 17 15 11 18 16 19 17 15 16 18 17 17 17 21 18 17 17 15 22 19 13 18 13 15 15 12
"9" 21 15 16 20 20 13 23 12 16 22 15 12 19 24 16 24 18 19 20 19 20 18 25 14 18 24 18 16 12 17 15 16 16 18 20 21 20 18 16 22 14 16 23 14 26 16 20 20 14 12 17 13 15 17 20 19 17 14 14 16 15 22 23 18 15 14 15 19 21 20 19 17 21 15 16 15 20 20 19 20 10 19 24 14 17 19 19 15 22 14 17 18 23 23 17 15 16 15 16 15 17 24 13 15 24 18 18 18 18 13 20 19 16 21 20 16 18 17 22 18 15 16 14 20 24 16 19 16 14 20 11 15 17 17 20 16 19 12 15 25 22 19 17 18 15 14 21 17 12 15 21 22 18 14 17 14 20 21 17 22 15 18 20 17 12 23 14 21 19 15 18 18 23 25 20 19 22 22 17 21 15 15 20 17 21 25 19 23 19 22 13 21 15 21 15 18 15 13 18 17 20 20 18 13 19 17 10 18 19 20 18 19 15 17 16 12 15 19 22 21 17 18 13 18 18 17 15 16 15 16 17 14 15 22 14 12 22 15 16 18 20 14 20 21 16 21 20 18 15 17 13 19 16 16 18 13 18 21 19 24 15 19 16 19 22 18 18 15 13 14 16 15 12 16 17 17 18 17 18 15 18 13 20 15 21 14 16 18 19 13 17 15 18 13 22 16 16 12 22 22 18 18 25 16 16 16 16 18 26 22 16 19 13 14 19 18 24 16 20 13 17 22 14 15 16 18 16 15 20 17 17 13 25 16 17 17 18 18 19 22 17 13 21 18 17 19 16 13 19 19 19 16 18 18 22 16 16 21 21 15 17 18 21 13 16 18 19 17 18 14 14 13 17 14 18 17 12 19 19 21 19 16 17 19 18 19 19 24 19 18 20 16 24 21 14 20 15 16 16 13
"10" 22 16 17 22 22 16 24 16 19 25 17 13 20 26 17 25 24 20 21 20 21 22 26 15 19 25 22 23 14 18 17 17 18 19 21 22 23 21 17 25 17 19 25 15 27 19 22 22 18 16 20 16 16 22 21 24 18 15 16 17 18 23 24 19 16 15 17 20 25 22 20 20 24 18 18 17 21 21 22 21 13 20 25 16 18 20 20 17 24 15 20 22 24 25 19 16 17 18 17 16 19 26 15 16 25 22 19 19 20 15 21 22 19 22 21 17 20 21 23 20 17 18 17 21 25 19 20 18 16 22 14 18 18 19 21 17 20 13 18 27 23 21 21 20 17 15 23 19 14 16 23 23 20 16 19 16 21 23 19 25 16 19 22 19 15 25 17 23 20 19 20 19 24 26 24 21 24 23 18 22 16 16 21 21 22 26 20 24 20 23 16 23 16 22 17 20 16 14 20 20 21 21 19 16 20 18 14 20 24 22 20 20 20 18 19 16 17 20 25 22 18 21 14 20 20 18 16 21 16 17 18 17 17 24 18 13 23 16 17 23 21 15 24 24 18 22 22 20 16 18 16 20 19 17 20 14 22 23 20 25 16 20 19 20 24 20 19 17 19 16 19 19 14 20 21 20 19 18 19 19 20 14 23 16 24 16 18 20 22 16 19 18 20 16 23 17 17 13 23 23 19 19 26 18 19 17 17 20 27 23 20 23 15 15 22 22 26 18 21 14 19 23 17 16 18 19 17 17 21 18 18 15 26 18 23 20 19 19 22 24 19 14 22 19 19 20 18 16 21 21 20 18 19 21 23 17 18 22 22 19 20 19 23 14 20 19 21 18 19 18 15 15 18 16 20 18 15 26 20 22 20 18 18 20 19 21 21 25 21 19 21 17 25 22 15 22 16 17 18 14
