"CN","type","plat","TP"
"C_1","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_2","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_3","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_4","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_5","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_6","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_7","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_8","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_9","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_10","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_11","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_12","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_13","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_14","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_15","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_16","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_17","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_18","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_19","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_20","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_21","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_22","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_23","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_24","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_25","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_26","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_27","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_28","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_29","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_30","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_31","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_32","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_33","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_34","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_35","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_36","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_37","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_38","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_39","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_40","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_41","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_42","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_43","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_44","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_45","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_46","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_47","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_48","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_49","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_50","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_51","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_52","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_53","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_54","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_55","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_56","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_57","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_58","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_59","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_60","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_61","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_62","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_63","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_64","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_65","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_66","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_67","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_68","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_69","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_70","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_71","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_72","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_73","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_74","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_75","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_76","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_77","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_78","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_79","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_80","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_81","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_82","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_83","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_84","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_85","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_86","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_87","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_88","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_89","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_90","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_91","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_92","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_93","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_94","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_95","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_96","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_97","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_98","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_99","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_100","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_101","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_102","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_103","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_104","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_105","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_106","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_107","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_108","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_109","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_110","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_111","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_112","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_113","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_114","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_115","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_116","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_117","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_118","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_119","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_120","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_121","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_122","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_123","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
