"CN","type","plat","TP"
"C_1","Solid tumor","Agilent","Solid tumor_Agilent"
"C_2","Solid tumor","Agilent","Solid tumor_Agilent"
"C_3","Solid tumor","Agilent","Solid tumor_Agilent"
"C_4","Solid tumor","Agilent","Solid tumor_Agilent"
"C_5","Solid tumor","Agilent","Solid tumor_Agilent"
"C_6","Solid tumor","Agilent","Solid tumor_Agilent"
"C_7","Solid tumor","Agilent","Solid tumor_Agilent"
"C_8","Solid tumor","Agilent","Solid tumor_Agilent"
"C_9","Solid tumor","Agilent","Solid tumor_Agilent"
"C_10","Solid tumor","Agilent","Solid tumor_Agilent"
"C_11","Solid tumor","Agilent","Solid tumor_Agilent"
"C_12","Solid tumor","Agilent","Solid tumor_Agilent"
"C_13","Solid tumor","Agilent","Solid tumor_Agilent"
"C_14","Solid tumor","Agilent","Solid tumor_Agilent"
"C_15","Solid tumor","Agilent","Solid tumor_Agilent"
"C_16","Solid tumor","Agilent","Solid tumor_Agilent"
"C_17","Solid tumor","Agilent","Solid tumor_Agilent"
"C_18","Solid tumor","Agilent","Solid tumor_Agilent"
"C_19","Solid tumor","Agilent","Solid tumor_Agilent"
"C_20","Solid tumor","Agilent","Solid tumor_Agilent"
"C_21","Solid tumor","Agilent","Solid tumor_Agilent"
"C_22","Solid tumor","Agilent","Solid tumor_Agilent"
"C_23","Solid tumor","Agilent","Solid tumor_Agilent"
"C_24","Solid tumor","Agilent","Solid tumor_Agilent"
"C_25","Solid tumor","Agilent","Solid tumor_Agilent"
"C_26","Solid tumor","Agilent","Solid tumor_Agilent"
"C_27","Solid tumor","Agilent","Solid tumor_Agilent"
"C_28","Solid tumor","Agilent","Solid tumor_Agilent"
"C_29","Solid tumor","Agilent","Solid tumor_Agilent"
"C_30","Solid tumor","Agilent","Solid tumor_Agilent"
"C_31","Solid tumor","Agilent","Solid tumor_Agilent"
"C_32","Solid tumor","Agilent","Solid tumor_Agilent"
"C_33","Solid tumor","Agilent","Solid tumor_Agilent"
"C_34","Solid tumor","Agilent","Solid tumor_Agilent"
"C_35","Solid tumor","Agilent","Solid tumor_Agilent"
"C_36","Solid tumor","Agilent","Solid tumor_Agilent"
"C_37","Solid tumor","Agilent","Solid tumor_Agilent"
"C_38","Solid tumor","Agilent","Solid tumor_Agilent"
"C_39","Solid tumor","Agilent","Solid tumor_Agilent"
"C_40","Solid tumor","Agilent","Solid tumor_Agilent"
"C_41","Solid tumor","Agilent","Solid tumor_Agilent"
"C_42","Solid tumor","Agilent","Solid tumor_Agilent"
"C_43","Solid tumor","Agilent","Solid tumor_Agilent"
"C_44","Solid tumor","Agilent","Solid tumor_Agilent"
"C_45","Solid tumor","Agilent","Solid tumor_Agilent"
"C_46","Solid tumor","Agilent","Solid tumor_Agilent"
"C_47","Solid tumor","Agilent","Solid tumor_Agilent"
"C_48","Solid tumor","Agilent","Solid tumor_Agilent"
"C_49","Solid tumor","Agilent","Solid tumor_Agilent"
"C_50","Solid tumor","Agilent","Solid tumor_Agilent"
"C_51","Solid tumor","Agilent","Solid tumor_Agilent"
"C_52","Solid tumor","Agilent","Solid tumor_Agilent"
"C_53","Solid tumor","Agilent","Solid tumor_Agilent"
"C_54","Solid tumor","Agilent","Solid tumor_Agilent"
"C_55","Solid tumor","Agilent","Solid tumor_Agilent"
"C_56","Solid tumor","Agilent","Solid tumor_Agilent"
"C_57","Solid tumor","Agilent","Solid tumor_Agilent"
"C_58","Solid tumor","Agilent","Solid tumor_Agilent"
"C_59","Solid tumor","Agilent","Solid tumor_Agilent"
"C_60","Solid tumor","Agilent","Solid tumor_Agilent"
"C_61","Solid tumor","Agilent","Solid tumor_Agilent"
"C_62","Solid tumor","Agilent","Solid tumor_Agilent"
"C_63","Solid tumor","Agilent","Solid tumor_Agilent"
"C_64","Solid tumor","Agilent","Solid tumor_Agilent"
"C_65","Solid tumor","Agilent","Solid tumor_Agilent"
"C_66","Solid tumor","Agilent","Solid tumor_Agilent"
"C_67","Solid tumor","Agilent","Solid tumor_Agilent"
